lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.70801051752528,-72.54437294511452,737,2024,STRICKLAND ST,Local,Local Intersections,737,541,1320,1467,1915,2792,2053,2165,2185.0,0.0,737.0,0.0
41.7004137607962,-72.58077376830703,8600,2024,NEW LONDON TPK,Major Collector,Local Intersections,8600,8100,8100,8100,9800,9800,9800,8900,9163.0,0.0,8600.0,0.0
41.70372197578445,-72.60223401586863,186,2024,MAPLE ST,Local,Local Intersections,186,210,569,729,1113,1360,1110,1177,1202.0,0.0,186.0,0.0
41.685493120291646,-72.51937052348484,273,2024,EASTBURY HILL RD,Local,Local Intersections,273,162,204,4520,455,640,502,529,527.0,0.0,273.0,0.0
41.692435322078566,-72.55340413461845,243,2024,PAXTON WAY,Local,Local Intersections,243,211,588,475,1049,1457,1246,1366,1396.0,0.0,243.0,0.0
41.669168686410615,-72.59333118532346,73,2024,PASTURE LA,Local,Local Intersections,73,74,145,290,421,574,370,401,311.0,0.0,73.0,0.0
41.679953600270224,-72.58660265339994,70,2024,LITTEL ACRES RD,Local,Local Intersections,70,138,114,149,378,414,21,21,21.0,0.0,70.0,0.0
41.64896243677948,-72.6135382634338,496,2024,GREAT POND RD,Local,Local Intersections,496,366,687,1155,1035,1324,1094,1159,1227.0,0.0,496.0,0.0
41.73241703355968,-72.57436235203402,5000,2024,ADDISON RD,Minor Arterial,Local Intersections,5000,4500,4500,4500,5300,5300,5300,4600,5872.0,0.0,5000.0,0.0
41.64806741457589,-72.59684271472666,280,2024,DAYTON RD,Local,Local Intersections,280,165,317,321,500,488,481,501,350.0,0.0,280.0,0.0
41.71034550320035,-72.54460158263082,123,2024,SAND HILL LA,Local,Local Intersections,123,136,118,260,426,637,451,475,489.0,0.0,123.0,0.0
41.71917519586918,-72.60204834665304,5711,2024,HOUSE ST,Local,Local Intersections,5711,5910,5365,6936,4691,6465,5480,5764,5905.0,0.0,5711.0,0.0
41.73055060424601,-72.56897555806346,2400,2024,GREAT SWAMP RD,Major Collector,Local Intersections,2400,2100,2100,2100,2500,2500,2500,2500,3797.0,0.0,2400.0,0.0
41.66075224537674,-72.61818917997043,531,2024,TRYON ST,Local,Local Intersections,531,350,670,757,966,1154,979,1062,1067.0,0.0,531.0,0.0
41.69259261433441,-72.52062046231497,861,2024,WEIR ST,Local,Local Intersections,861,874,1613,4032,1661,1967,1579,1673,1696.0,0.0,861.0,0.0
41.676266874234,-72.59229979435331,53,2024,LENTI TER,Local,Local Intersections,53,72,177,54,255,348,323,343,263.0,0.0,53.0,0.0
41.716214629893344,-72.61178062515793,2400,2024,NAUBUC AV,Minor Arterial,Local Intersections,2400,2000,2000,2000,2400,2400,2400,2000,3328.0,0.0,2400.0,0.0
41.69518969387458,-72.58748945340687,186,2024,WAGON RD,Local,Local Intersections,186,268,257,252,609,851,773,804,801.0,0.0,186.0,0.0
41.66738180701008,-72.60527499798685,271,2024,HIGH ST,Local,Local Intersections,271,354,494,694,788,925,805,856,840.0,0.0,271.0,0.0
41.6867525338795,-72.56616264899344,165,2024,RUSSET RD,Local,Local Intersections,165,120,353,251,372,568,473,465,477.0,0.0,165.0,0.0
41.70413262832665,-72.5997814687184,1957,2024,WILLIEB ST,Local,Local Intersections,1957,1868,2741,3317,2964,4004,3174,3280,3313.0,0.0,1957.0,0.0
41.68709079984933,-72.58867247625194,96,2024,BRADLEY WAY,Local,Local Intersections,96,121,316,364,880,380,329,182,21.0,0.0,96.0,0.0
41.67608636435702,-72.57087669189141,76,2024,PENNYWISE LA,Local,Local Intersections,76,73,126,223,450,504,403,472,376.0,0.0,76.0,0.0
41.69387199276467,-72.47120889371217,496,2024,IMPERIAL DR,Local,Local Intersections,496,514,805,752,744,913,657,693,712.0,0.0,496.0,0.0
41.69914320381418,-72.51737493273222,799,2024,WEIR ST,Local,Local Intersections,799,827,1291,1687,1608,1876,1604,1695,1683.0,0.0,799.0,0.0
41.68208485911676,-72.595136568392,211,2024,ORCHARD LA,Local,Local Intersections,211,85,113,72,362,547,485,525,545.0,0.0,211.0,0.0
41.72655275312152,-72.57365736261322,573,2024,WORTHINGTON RD,Local,Local Intersections,573,540,782,652,932,1413,1009,1089,1049.0,0.0,573.0,0.0
41.72495398103749,-72.59352375016078,200,2024,MILESTONE DR NO 2,Local,Local Intersections,200,176,116,158,398,645,483,519,536.0,0.0,200.0,0.0
41.70914172161508,-72.6081118512716,6800,2024,MAIN ST,Minor Arterial,Local Intersections,6800,5700,5700,5700,5700,5700,5700,5900,7051.0,0.0,6800.0,0.0
41.68547396686888,-72.51947188877355,273,2024,EASTBURY HILL RD,Local,Local Intersections,273,162,204,4520,455,640,502,529,527.0,0.0,273.0,0.0
41.68834497136413,-72.58056667041777,70,2024,TALL TIMBERS DR,Local,Local Intersections,70,80,449,304,446,752,518,545,561.0,0.0,70.0,0.0
41.69263953442382,-72.58000367666553,391,2024,HANOVER FIELDS RD,Local,Local Intersections,391,405,866,1165,1318,1879,1517,1572,1612.0,0.0,391.0,0.0
41.725356273023785,-72.5368884787455,7200,2024,KEENEY ST,Minor Arterial,Local Intersections,7200,6900,6900,6900,7600,7600,7600,6900,5726.0,0.0,7200.0,0.0
